web-scraper-order,url,name,imgSrc,ratecount,description,pricTag
1619774233-4079,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=31&pricing=all&requirements=off&sort_by=relevance,Shipping Rates by Parcelify,https://cdn.shopify.com/app-store/listing_images/4b30af790c7a4d87c94bf8a4105424ef/icon/CL2SxcP0lu8CEAE=.jpg?height=72&quality=90&width=72,253,Charge exactly what you want for shipping,14-day free trial
1619774304-4616,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=8&pricing=all&requirements=off&sort_by=relevance,Translate & Currency LangShop,https://cdn.shopify.com/app-store/listing_images/36881f6a4f1818cb5cffe1d6cf5cb302/icon/CLaM97L0lu8CEAE=.jpg?height=72&quality=90&width=72,374,"Translate content, add language and currency switcher to store",14-day free trial
1619774282-4447,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=15&pricing=all&requirements=off&sort_by=relevance,Delivery Date Schedule,https://cdn.shopify.com/app-store/listing_images/5814587a4a574195d92a6acd49efec51/icon/CNPbn7z0lu8CEAE=.png?height=72&width=72,197,Best for Local Delivery Shipping Date and Time option,Free plan available
1619774069-2776,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=85&pricing=all&requirements=off&sort_by=relevance,BuzzSubs: Spin Wheel Popup,https://cdn.shopify.com/app-store/listing_images/eeb451266dc19b2834a413487a3322a5/icon/CLXR0tL0lu8CEAE=.jpg?height=72&quality=90&width=72,668,Spin Wheel Pop-up. Spin to Win. Spin-a-sale. Spin the Wheel.,7-day free trial
1619774025-2402,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=100&pricing=all&requirements=off&sort_by=relevance,Bablic Store Translation,https://cdn.shopify.com/app-store/listing_images/fba0c6f60f1fcb5be03aba24723cda99/icon/COmFlMn0lu8CEAE=.png?height=72&width=72,113,Leading translation solution for your store - Sell worldwide!,14-day free trial
1619774279-4431,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=16&pricing=all&requirements=off&sort_by=relevance,Importify ? Easy Dropshipping,https://cdn.shopify.com/app-store/listing_images/ac06a7dea7f97ce9ce3b3ccc1b33a337/icon/CIaz4cP0lu8CEAE=.png?height=72&width=72,291,Dropship products Aliexpress Amazon Alibaba Etsy Dhgate & more,1-day free trial
1619774282-4442,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=15&pricing=all&requirements=off&sort_by=relevance,"Live Chat, ChatBot, Cart Saver",https://cdn.shopify.com/app-store/listing_images/e411b8c413d38cab4b7f529d6a421d26/icon/CMqCnsL0lu8CEAE=.png?height=72&width=72,541,"Chatra live chat, Fb chat, Email, Visitor list & Cart Saver",Free plan available
1619774176-3610,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=50&pricing=all&requirements=off&sort_by=relevance,Product Reviews + UGC with Q/A,https://cdn.shopify.com/app-store/listing_images/0b4aa38515fefaef22cb290bd0e4e3a6/icon/CIXrh9rlm/ACEAE=.png?height=72&width=72,257,"Product Reviews, Ratings, Photos/Videos, UGC, Q&A, Feedback",Free plan available
1619774321-4775,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=2&pricing=all&requirements=off&sort_by=relevance,"Instafeed, Instagram Feed Shop",https://cdn.shopify.com/app-store/listing_images/78c7d846fe4892fb9f338d208c8e9e6e/icon/CLXlk7z0lu8CEAE=.png?height=72&width=72,162,Beautiful & Shoppable Instagram Feed To Sell More. FREE APP!,Free
1619774315-4717,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=4&pricing=all&requirements=off&sort_by=relevance,Mobile App Builder ? Vajro,https://cdn.shopify.com/app-store/listing_images/a9b653b1b8aa51e395308c39f8058991/icon/CJHE4Nn0lu8CEAE=.jpg?height=72&quality=90&width=72,547,Get your mobile app ready in less than 60 minutes,60-day free trial
1619774233-4072,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=31&pricing=all&requirements=off&sort_by=relevance,Meteor Mega Menu,https://cdn.shopify.com/app-store/listing_images/114dc2b1d7b44c05ad182e1f8381130b/icon/COWLvc70lu8CEAE=.png?height=72&width=72,203,Create gorgeous multi-tier dropdown menus for your store,Free plan available
1619774002-2218,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=108&pricing=all&requirements=off&sort_by=relevance,Related Products ? Relatify,https://cdn.shopify.com/app-store/listing_images/3ed5d19f305df17d7a9a1533d3f2dcc5/icon/CNKLlrH0lu8CEAE=.png?height=72&width=72,106,"Related Products , New Arrivals , Trending Products & More",7-day free trial
1619774291-4526,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=12&pricing=all&requirements=off&sort_by=relevance,BookThatApp,https://cdn.shopify.com/app-store/listing_images/35b63cb98175322a555e035845626664/icon/CK+oybH0lu8CEAE=.png?height=72&width=72,292,The seamless Shopify booking calendar,Free plan available
