web-scraper-order,web-scraper-start-url,page,url,imgSrc,name,description
1621182566-453,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,Next,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home?page=2,https://avatars.slack-edge.com/2020-03-25/1024253618868_73d0e29ed0a82113051a_96.jpg,WFH Surveys,Simple feedback surveys for first-time remote employees
1621182552-396,https://gangchanger.slack.com/apps/category/AtHC5Q7RUJ-daily-tools,,,https://avatars.slack-edge.com/2019-04-15/608395662292_64108f1a3c1056b0d3c7_96.png,Dropbox,Connect Dropbox to your Slack workspace to easily share content and conversations between both platforms.
1621182552-400,https://gangchanger.slack.com/apps/category/AtHC5Q7RUJ-daily-tools,,,https://avatars.slack-edge.com/2019-10-08/789931495607_cc585a2ba3a192a9c371_96.png,Box,Your content securely extended to Slack
1621182574-487,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,Previous,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home?page=1,https://avatars.slack-edge.com/2021-04-21/1971543991271_d94eedfa4a0f0dde1ea0_96.png,Officevibe,Bring out the best in your team
1621182515-269,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=6,https://avatars.slack-edge.com/2020-10-26/1449463553381_79a26a6a6ec7fd7de267_96.png,Kaffeehaus,"Happy teams through appreciation cards, tictactoe, codenames, trivia and other games."
1621182610-587,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,Previous,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured?page=1,https://avatars.slack-edge.com/2020-01-30/930499194037_edf1022e3c58514cc8fa_96.png,Eventbot Calendar,A shared team calendar built for Slack 📅
1621182588-493,https://gangchanger.slack.com/apps/category/At01EB3C3VKK-enterprise-ready-apps,,,https://slack-files2.s3-us-west-2.amazonaws.com/avatars/2017-01-22/130976277813_a8ab564623726e14ea32_96.png,Workast,Project Management for Teams on Slack
1621182496-219,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=4,https://avatars.slack-edge.com/2020-12-27/1613585073025_50f9f319baaf8615d2e2_96.png,Channitor,"Keep your channels in check, automatically"
1621182531-329,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps,,,https://avatars.slack-edge.com/2020-10-26/1466083688641_05afc842ead4d799a4fc_96.png,Polly,"Instant engagement through polls, surveys, standups and trivia 📊"
1621182515-271,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=6,https://avatars.slack-edge.com/2020-06-19/1200434401476_8e240e0fe3d4bc6ed165_96.png,Workbench Intelligence for Slack,"Track the usage, adoption and impact of Slack across your organisation in real-time with Workbench Intelligence for Slack."
1621182446-38,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,Next,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots?page=2,https://avatars.slack-edge.com/2021-01-03/1609097634082_652ae47f9dc5c225c6ed_96.png,Finisher,Organize your team's tasks into streamlined visual workflows and checklists
1621182460-103,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,,,https://avatars.slack-edge.com/2019-03-20/574764560385_3464ff8fc6efb5585eac_96.png,Coda Pack: Doc integration,A doc as powerful as an app
1621182574-465,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,Previous,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home?page=1,https://avatars.slack-edge.com/2021-02-01/1725636648368_d0b4f2eca0834b833cb6_96.png,Google Calendar,"See your schedule, respond to invites, and get event updates."
1621182505-240,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2021-05-06/2043183294452_9520e3cbe989b52a5ec0_96.png,HypeUp,"Log your accomplishments, advocate better about yourself!"
1621182460-108,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,,,https://avatars.slack-edge.com/2020-09-01/1334593486421_36a8161fac8bfcf1b8f1_96.png,QuickQuiz,"Easily create, manage, and deploy quizzes directly through Slack!"
1621182515-265,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=6,https://avatars.slack-edge.com/2020-01-23/919465426580_5a4109abe5e336121fb9_96.png,Herald,"Consolidate, qualify, and quantify customer feedback to make better product decisions."
1621182486-195,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=3,https://avatars.slack-edge.com/2019-07-31/714091214150_99ecf7ff9d9cd45434b4_96.png,Leadup,Lightweight team management for Slack
1621182505-252,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2020-06-12/1194166291585_3bad71fc456e8aab4a07_96.png,Renote,Release notes manager
1621182505-244,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2019-10-31/817083310080_260bb1e3b966b3e35f82_96.png,ReplyBuy Messenger,Manage your ReplyBuy Messenger SMS conversations from within Slack
1621182505-237,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2020-02-21/963102368741_1cad330a055c327d030f_96.png,Chronoscope Time Tracking,Automated Time Tracking Assistant
1621182559-406,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,,,https://avatars.slack-edge.com/2017-08-04/221756642528_4922bf5e3a4d9e4f80fd_96.png,Trello,Collaborate on Trello projects without leaving Slack.
1621182515-263,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=6,https://avatars.slack-edge.com/2020-07-13/1236802380789_efe1f11bd8782675a005_96.png,Ring4 Meeting,Free video meeting & screen sharing
1621182440-15,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,,,https://avatars.slack-edge.com/2017-10-04/250544709616_c5192bdc4c4ea3455bd1_96.jpg,TimeBot,"Time off requests. Vacation, WFH & sick leave tracking in Slack! 📅🏠✈️🌴"
1621182552-397,https://gangchanger.slack.com/apps/category/AtHC5Q7RUJ-daily-tools,,,https://avatars.slack-edge.com/2019-05-01/626148669510_848578d4c3743d545733_96.png,OneDrive and SharePoint,"Search, share and preview your OneDrive & SharePoint Online files right from Slack"
1621182496-229,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=4,https://avatars.slack-edge.com/2019-11-21/845807812086_628ed868a2fc67c5936c_96.png,Probe,Access your key metrics with one simple command
1621182476-154,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Previous,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=1,https://slack-files2.s3-us-west-2.amazonaws.com/avatars/2017-12-18/288630232324_17eb075d69c2151ae969_96.png,Clockwise,Automatically sync your work calendar with your Slack status
1621182440-9,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,,,https://avatars.slack-edge.com/2019-11-25/848832123680_64c47103e3082b32c4fe_96.png,AWS Chatbot,ChatOps for AWS
1621182486-192,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=3,https://avatars.slack-edge.com/2020-03-09/978799681041_fd073d06dda7ccf58707_96.png,Feldspark,A micro learning management system for Slack
1621182486-199,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=3,https://avatars.slack-edge.com/2020-10-09/1425127132996_af42d515a63cfc634b3d_96.png,Caravan,Meeting notes. Without the meeting.
1621182452-74,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,Previous,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots?page=1,https://avatars.slack-edge.com/2016-04-04/31860934899_a94b64d631a854ebcf3c_96.png,SnippetsBot,"Simple weekly tracking and reporting on accomplishments, goals and obstacles."
1621182505-262,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2020-12-20/1589411924163_e0539e04c2ed391681ca_96.png,pgTop,"Get quick and valuable insight into your Postgres database's health, right in Slack"
1621182595-533,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,,,https://avatars.slack-edge.com/2020-03-04/972212402753_8a6e3197c49313ec131a_96.png,Microsoft Teams Calls,Start and join Teams video calls directly from Slack
1621182574-482,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,Previous,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home?page=1,https://avatars.slack-edge.com/2018-10-25/463623291296_f97ffc769c9b1fd4297f_96.png,"MailClark, email for teams","Gmail, Outlook, Facebook, Twitter — Shared Inbox in Slack"
